iteration	change	metric	result	decision	notes
16	launch strict live smoke without repo-first import path	live recorder gate	failed before Isaac launch: local dataset_generation package was shadowed	discard	no GPU work or output occurred; rerun with repository root first on PYTHONPATH
17	launch strict live smoke with recorder	live recorder gate	failed on SONIC reference-contact shape [N,1] before writing output	discard	bounded run exposed an exact interface mismatch; no episode was accepted
18	normalize exact SONIC singleton foot axis	live tensor contract	35 focused tests passed; Ruff and Black clean	keep	accepts release [N,1] per-side labels while failing closed on unaggregated multi-body feet
19	run forced-failure release smoke	pre-reset failure capture	2 exact D_atlas records; one step each; JSONL SHA 09088fbe	keep	both labeled failures with anchor-orientation trigger, frozen thresholds, and no HDF5 output
20	run natural-timeout release smoke	full-episode success capture	2 exact D_atlas records; 435 and 359 steps; JSONL SHA 7508f77c	keep	both labeled successes at phase zero with timeout cause and bounded full-episode probes
21	fit fail-closed D_atlas channel scales	normalizer provenance	positive-failure q90 fitter; scientific evidence floor 20/channel; focused tests green	keep	no identity fallback; exact calibration episodes and channel contract are hash-bound
22	separate resolved and unresolved failure mass	signature validity	f uses resolved joint mass; Dirichlet pseudo-posterior and intervals exported; tests green	keep	full-failure a*q is explicit missing-at-random sensitivity rather than silent imputation
23	harden atlas schema v2	scientific artifact gate	48 focused tests; two independent builds byte-identical; atlas SHA 5ef813ff	keep	scientific mode requires full D_atlas selection, exact declared schedule, fitted normalizer, and split binding; partial artifact is smoke-only
24	correct slip plane geometry and censoring	probe validity	101 complete LACE/storage tests passed; Ruff and Black clean	keep	uses configured plane tangent, absolute reference progress, and explicit success censoring
25	rerun revised live interface smoke	end-to-end recorder gate	strict 2/2 SHA 06e010e7; timeout 2/2 SHA 201d0c2d; no HDF5	keep	failure progress is 0.0 at first frame; success progress is censored with full reference completion; scientific atlas remains blocked
26	separate control, simulator, and optimizer budgets	matched-compute validity	8 focused tests passed; Ruff and Black clean	keep	decimation, gradient accumulation, resolved-config digest, calls, synchronized parameter updates, and skipped calls are explicit; headline comparisons fail closed
27	rebuild schema-v2 contract atlas	artifact determinism gate	2 independent builds byte-identical; file SHA 503a9b93; atlas SHA 10736379; storage verifier ready	keep	lock now binds the instrument-null contract artifact and referenced frozen split on /data with 443 GB free
28	remove mechanism-score and horizon bias	probe construct validity	69 probe/recorder/normalizer/atlas tests passed; Ruff and Black clean	keep	one-to-one contact-event matching, equal-weight evidence composition, two-second pre-failure scoring window, absolute onset time, and diagnostic-only fall labels
29	solve representation-blind fixed-budget interventions	RQ1 causal-dose gate	27 focused tests passed; Ruff and Black clean	keep	base-conditional panel exposure, KL-targeted bisection, ratio/TV checks, signed exposure shift, ESS diagnostics, and canonical digest
30	freeze exact atlas rollout schedule	scientific randomization gate	23 schedule/split/atlas/schema tests passed; CLI and lint clean	keep	motion-specific integer starts, ordered checkpoint and seed axes, repeat-safe uint32 runtime seeds, CRN pairing, exact Cartesian coverage, canonical digest, and overwrite-safe /data builder
31	instantiate SONIC-Lite-S contract	model-scale gate	actor 1,227,514; critic 1,171,329; CPU forward finite; 7 tests and lint clean	keep	G1-only encoder/decoder, no SMPL/teleop/alignment, release-equivalent environment/PPO semantics, and exact 10/50/100% checkpoints
32	materialize release two-motion pilot schedule	runner input gate	16 exact tuples; schedule SHA 58928da9; file SHA 6e3f2c31	keep	actual release checkpoint hash, exact 435/359 resampled lengths, two DR conditions, two phases, two repeat-safe runtime seeds, stored under /data
33	run consolidated CPU research suite	integration regression gate	152 passed, 1 optional skip; Ruff and Black clean after formatting three research files	keep	probe, recorder, schedule, atlas, signatures, panels, intervention, compute, storage, and Lite contracts agree before simulator integration
34	bind scientific atlas to independent schedule	anti-self-attestation gate	56 focused tests passed; schema-v3 builds byte-identical; file SHA 9c5d0c59; atlas SHA 9f3d14f3	keep	scientific episodes must exactly match every precommitted motion/policy/checkpoint/condition/runtime-seed/phase/start/repeat tuple; smoke remains explicitly non-scientific
35	encode full signed RQ1 treatment	representation-comparison validity	9 focused feature tests and 36 feature/intervention tests passed; Ruff clean	keep	matched-K features use delta_p-weighted membership shifts and include exposure removed outside each upweighted panel instead of substituting a panel centroid
36	freeze reference-length inventories	schedule timeline provenance	39 schedule/reference/storage tests passed; pilot and 107-motion artifacts verified on /data	keep	scientific mode binds exact 30-to-50 Hz SONIC resampling, source schemas and hashes, split/materialization provenance, max_len=-1, scale=1, and 50 Hz simulation
37	harden RQ1 inference schema v2	transfer-claim validity	22 focused tests passed; Ruff and Black clean	keep	raw gain is primary; motion-level crossed CV, independent headroom sensitivity, three-axis clustered bootstrap, and full-refit whole-source-row permutation are fail-closed
38	add reference-only feasibility proxy	feasibility-confound control	10 focused tests passed; 107-motion audit found 0 hard-limit and 2 joint-speed violations	keep	G1 joint/root kinematics and objective limit flags remain separate from policy failures and are explicitly not claimed as dynamic-feasibility proof
39	add failure-geometry stability and difficulty-reconstruction diagnostics	atlas stability gate	11 focused tests passed; Ruff and Black clean	keep	common-support policy-axis signatures report Jensen-Shannon drift, distance-rank stability, neighbor overlap, and source-group-cross-validated reconstruction of q from scalar difficulty without imputation or outcome-adaptive thresholds
40	migrate pilot schedule to inventory-bound schema v2	timeline provenance gate	60 focused tests passed; byte-identical rebuild; live storage readiness true	keep	v2 removes self-attested lengths and selection, embeds the verified 30-to-50 Hz reference inventory, preserves v1 read-only validation, and locks file SHA f457da47 plus schedule SHA 0ccd03c7 on /data
41	add locked schedule-cell eval loader	runner selection and launch gate	25 focused tests passed plus exact Hydra dry-compose; Ruff and Black clean	keep	loader rehashes schedule, split, inventory, and spec; selects every motion in one CRN cell; binds checkpoint and dataset bytes; freezes plane/headless/G1/no-corruption instrumentation; pilot remains non-scientific
42	freeze numerical signature-stability decision rule	outcome-blind atlas screening gate	16 focused tests passed; Ruff and Black clean; config SHA d28c64d0	keep	fixes repeat split, common support, JS/rank/neighborhood, source-group bootstrap, incidence concentration, and difficulty-reconstruction thresholds before primary atlas outcomes
43	add matched frozen representation baseline contract	RQ1 representation fairness gate	30 representation/transfer-feature tests passed; Ruff and Black clean	keep	all candidate embeddings share D_atlas-only standardization, deterministic matched-K clustering, canonical ties, frozen no-refit assignment, exact provenance hashes, and exact-cell-size random controls
44	freeze scale512 matched-representation protocol	pre-outcome clustering/support gate	48 representation/transfer-feature tests passed; Ruff and Black clean; protocol SHA 8c42d6a2	keep	binds D_atlas 107 motions/55 groups, K-specific minimum support, shared optimizer settings, primary K6, and 100 exact-size motion-level random controls with source blocking retained
45	freeze full released-policy D_atlas schedule	Layer-A external-audit execution gate	107 motions/856 tuples; byte-identical rebuild; storage lock ready; schedule SHA 74f5b41d	keep	binds the release checkpoint, exact reference lengths, two DR conditions, two phases, and repeat-safe CRN seeds; explicitly not the primary three-Lite-checkpoint geometry
46	build exact reference-feasibility control	RQ1 feasibility-confound gate	37 passed/1 optional skip; Ruff and Black clean; artifact file SHA c0eb1142	keep	107 references reproduce pinned float32 SONIC resampling and MJCF FK; 0 corrupt/hard-limit, 82 soft-limit, 2 actuator-speed flags; remains provisional until live robot limit/order readback
47	bind first full external-atlas execution cell	dataset/checkpoint/runner gate	107 robot plus 107 SMPL files verified; plan SHA 552ced80; no launch	keep	full DR101/start/repeat0 cell resolves 107 envs, shared runtime seed, release checkpoint, real paired data, sampler-off instrumentation, and bounded 2204-step stop
48	launch live termination-trace pilot without repo-first subprocess path	live recorder gate	failed before Isaac import; no GPU allocation or rollout	discard	installed gear_sonic shadowed the checkout and lacked dataset_generation; frozen plan was written but no scientific evidence accepted
49	bind repo-first subprocess import environment	launcher reproducibility gate	8 passed/1 optional skip; Ruff and Black clean	keep	launch plan now hashes repository-first PYTHONPATH semantics and subprocess inherits the exact value while retaining unique ROS entries
50	launch live pilot with weights-only checkpoint copy	checkpoint packaging gate	failed before AppLauncher; no GPU allocation or rollout	discard	SONIC correctly required config.yaml beside the checkpoint; copied weight bytes alone were not an executable checkpoint bundle
51	materialize and preflight release checkpoint bundle	checkpoint packaging gate	9 passed/1 optional skip; exact weight SHA e6bdab3f and config SHA f0818779	keep	/data bundle now carries last.pt plus config.yaml; launch plan hashes both and fails before runtime when companion config is absent
52	launch live pilot before termination-manager construction	live recorder lifecycle gate	Isaac scene and two frozen motions loaded; recorder construction failed before rollout; no evidence accepted	discard	ManagerBasedEnv constructs RecorderManager before ManagerBasedRLEnv constructs TerminationManager, so eager multi-hot trace installation is invalid and must move to a pre-step-safe lifecycle hook
53	freeze byte-bound scientific instrument contract	measurement-provenance gate	64 instrument/atlas/recorder/schedule tests passed; Ruff and Black clean	keep	binds eight resolved runtime payloads, exact single-evaluation multi-hot semantics, full source bytes, schedule, seeds, and episode digest without importing the simulator
54	defer termination trace installation to the live manager-safe hook	live recorder lifecycle gate	43 focused and 318 broad LACE tests passed; 3 optional skips; Ruff and Black clean	keep	constructor now tolerates RecorderManager-before-TerminationManager ordering; reset/pre-step installs exactly once before compute and post-step fails closed on any late trace
55	launch and validate the bounded two-motion live recorder pilot	live probe contract gate	2 episodes completed; JSONL SHA b9a9c89f; runtime readiness true; atlas validation rejected serialized diagnostics ordering	discard	canonical sort_keys serialization alphabetized termination_terms while the validator incorrectly trusted mapping insertion order instead of the explicit term_names vector; no scientific evidence accepted yet
56	validate live pilot with serialization-order-independent termination diagnostics	live probe contract gate	319 broad LACE tests passed/3 skipped; 2 real rows and smoke atlas validate; atlas SHA ff9c32b8	keep	explicit term_names now owns column order while diagnostics require exact key-set equality; immutable JSONL b9a9c89f proves runtime realizations, raw multi-hot, schedule binding, and both complete episodes, but remains non-scientific
57	promote reference-feasibility proxy with homogeneous live JSONL evidence	RQ1 feasibility-confound gate	21 focused tests passed/1 optional skip; v2 file SHA 32798713; manifest SHA ea4dd795	keep	107-motion artifact is scientific-ready and binds both runtime-ready smoke rows plus articulation order/limit readback; 0 corrupt/hard-limit, 82 soft-limit, and 2 actuator-speed excursions remain covariates
58	quiesce each atlas environment after its first scheduled completion	full-cell rollout uniqueness gate	32 focused and 327 broad LACE tests passed; 3 optional skips; Ruff and Black clean	keep	two-speed regression emits exactly env0 then env1 despite env0 auto-resetting and ending twice; unfinished envs continue, completed buffers stay empty, and pre-completion reassignment still fails closed
59	extend locked /data artifact roots	storage-capacity gate	JSON syntax, directory existence, /data containment, and diff check passed	keep	rollouts and throughput now join atlases/checkpoints/logs/manifests/tmp in the verified 5090 storage contract; large experimental outputs remain off the full repository filesystem
60	freeze the scale512 RQ1 motion-level intervention plan	pre-outcome causal-dose gate	37 intervention tests plus 19 deep storage/lock tests passed; live /data readiness true; plan SHA e726a7f2	keep	all 233 D_curriculum motions and 8 representation-blind source panels use a uniform base, target KL 0.05 nats, ratio cap 3, and added-exposure range 0.001389 below the frozen 0.002 gate; verifier deterministically rebuilds panels and every probability vector
61	freeze report-only cross-policy transport analysis	P1b external-validity gate	12 focused tests passed; Ruff and Black clean; protocol SHA 23a12e4b	keep	compares released SONIC with each Lite stage separately under one parent normalizer, common support with minimum three resolved failures, source-group bootstrap channel ranks, JS distance-matrix rank, and k-neighbor overlap; explicitly forbids a causal capacity claim
62	install frozen RQ1 motion-level distributions in SONIC	fixed-treatment runtime gate	53 focused intervention/accounting/Hydra tests passed; Ruff and Black clean on new files	keep	requires exact plan bytes/self-digest, all 233 motions resident in canonical identity order, and native adaptive sampling off; installs base or panel p_plus and revalidates both MotionLib probability tensors before every draw
63	freeze assignment-only non-atlas probe contracts	RQ1 representation-assignment gate	43 focused tests passed; D_curriculum inventory b6efcc37 and D_geometry inventory 471f96e5	keep	full 233/76-motion partitions bind exact 30-to-50-Hz source bytes, no crop, no normalizer refit, three ordered Lite policies, and the 2-by-2-by-2 condition grid; schedules remain intentionally unmaterialized until real checkpoint, parent-normalizer, and protocol hashes exist
64	make the three-policy failure axis explicit	primary-representation aggregation gate	52 policy-axis/signature/representation tests passed; Ruff and Black clean	keep	deep-rebuilds one motion row as frozen early-mid-late q concatenation, labels equal-policy averaging sensitivity-only, requires exact Cartesian coverage, carries per-policy difficulty/unresolved nuisance axes, and excludes rather than imputes motions missing any policy support
65	harden the frozen RQ1 sampler against provenance and resume bypasses	fixed-treatment integrity gate	40 fixed-sampler and 45 legacy-sampler tests passed; production 233-motion lock deep-resolved; Ruff, Black, and diff checks clean	keep	one-buffer lock parsing deterministically rebuilds split/panels/protocol/plan; paired, unique, eval, atlas, multi-object, adaptive-bin, and reload paths fail closed; float64 resident identity, exact arm/config/lock resume equality, and per-motion draw counters are enforced while occupancy/optimizer accounting remains a runner gate
66	freeze and materialize the headline BONES cohort	headline data and feasibility gate	4,950 paired motions; 1,006-motion D_atlas; 104 held-out geometry/test source groups; storage readiness true; feasibility f40b64c4	keep	unique pre-outcome grid candidate satisfying atlas 1,000-1,024 and held-out groups >=100; all archive members and paired timelines verified; zero corrupt or hard-limit exclusions, with soft-limit and speed excursions retained as covariates
67	bind policy-axis features to independently pinned scientific parents	primary representation provenance gate	17 focused tests passed; fully rehashed parent substitutions rejected; Ruff and Black clean	keep	schema 2 requires actual signature atlas, normalizer, protocol, and checkpoint-bearing schedule/atlas parents plus four external expected digests; only exact early-mid-late order is primary and all other axes are sensitivity-only
68	make headline cohort readiness receipt-driven and independently pinned	headline selection provenance gate	real 4,950 chain READY in 40.6 s with external pin; 26 non-atlas storage tests and 6 headline attacks passed; audit green	keep	schema-2 protocol honestly excludes the prior smoke, binds selection/filter/materialization code and exact data; verifier rebuilds all 21 candidate sizes, cohort, 4,950 pairs, and split, rejects swapped valid refs and symlinks, and requires independent split-lock file SHA 1fc4a14e
69	freeze a CPU-validated RQ1 treatment runner contract	fixed-distribution training execution gate	12 focused and 84 sampler/accounting/throughput compatibility tests passed; Ruff, format, and diff checks clean	keep	deep-rebuilds the external intervention lock into exactly one sorted resident arm; forbids adaptive, resample, paired, unique, eval, atlas, multi-object, and resume paths; matches transitions and attempted/successful PPO updates; records per-motion/panel draws, occupancy, signed exposure, resets, factorization, and decimation; no-clobber receipts bind the final checkpoint and all provenance, while GPU launch remains externally gated
70	harden RQ1 execution provenance and GPU isolation evidence	schema-2 scientific execution gate	27 focused and 102 sampler/accounting/throughput compatibility tests passed; Ruff, format, compile, and diff checks clean	keep	path-independent scientific cell identity, exact full-config and split/init/source/asset closure, strict launcher completion and draw/accounting invariants, nanosecond-consistent chronology, and frozen RTX 5090 raw sample-chain monitoring reject reproduced rehash attacks; local claims remain advisory, external WORM authority is absent, and scientific launch readiness stays false
71	bind matched RQ1 cells to the effective scientific environment	cross-arm matching integrity gate	28 focused and 103 sampler/accounting/throughput compatibility tests passed; Ruff, format, compile, and diff checks clean	keep	exact allowlisted child variables now enter the matched-training digest through a path-normalized contract; per-run repo/storage/output/tmp names are tokenized, OMP 1 versus 64 produces different matched hashes and cells, and copied-lock/run-id/storage-root invariance remains intact
72	freeze the headline Lite-S throughput sweep	5090 workload-selection gate	1,996-motion dataset verified; four Hydra cells compose; immutable CPU-built plan digest 378362b5; consolidated integrity suite 540 passed	keep	the plan binds 197 Python files, 118 Hydra sources, exact Lite-S initialization and all headline D_curriculum identities; N_env 128/256/512/1024 remain unlaunched because a foreign process leaves 23,246 MiB free below the frozen 28,672 MiB gate
73	format the full LACE surface and rebuild the frozen sweep	repository quality and source-closure gate	Ruff passed; Black 87 files clean; 540 tests passed; replacement plan digest 9980b241	keep	removed one unused import, formatted 12 LACE files, reran the consolidated suite, and wrote immutable v2 plan file SHA 4f6bf6e1; v1 remains untouched but is explicitly superseded before any GPU cell ran
